FishID,LakeID,Date,surface.temp.c,doc.mgL,TN.mgL,fish.d13C,fish.d15N,POM.d13C,POM.d15N,d15N.grass,d13C.grass,d15N.pine,d13C.pine,grow.age.1,grow.age.2,grow.age.3,grow.age.4,grow.age.5,grow.age.6,grow.age.7,grow.age.8,grow.age.9,grow.age.10,grow.age.11,grow.age.12,grow.age.13,grow.age.14,grow.age.15,grow.age.16,grow.age.17,grow.age.18,grow.age.19,Species
1,1,6/13/15,8.7,1.4076,0.187,-16.25,5.42,-27.33,0.05,-2.77,-28.13,-1.35,-26.9,0.127,0.074,0.069,0.081,0.049,0.082,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
2,1,6/13/15,8.7,1.4076,0.187,-15.84,6.15,-27.33,0.05,-2.77,-28.13,-1.35,-26.9,0.825,0.487,0.284,0.193,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
3,2,6/13/15,10.35,1.5036,0.0221,-17.99,6.93,-27.4,2.17,-0.11,-26.46,-1.35,-26.9,0.377,0.243,0.353,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
4,2,6/13/15,10.35,1.5036,0.0221,-17.13,6.98,-27.4,2.17,-0.11,-26.46,-1.35,-26.9,0.464,0.385,0.256,0.314,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
5,3,6/23/15,18.15,1.2816,0.486,-22.48,6.82,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.746,0.402,0.392,0.283,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
6,3,6/23/15,18.15,1.2816,0.486,-27.15,6.03,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.655,0.384,0.66,0.405,0.384,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
7,3,6/23/15,18.15,1.2816,0.486,-23.28,7.6,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.56,1.118,0.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
8,3,6/23/15,18.15,1.2816,0.486,-22.73,7.45,-28.2,-0.16,0.09,-27.85,-5.62,-24.92,0.467,0.206,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
9,4,6/22/15,14.8,1.0812,0.563,-24.43,5.83,-27.68,1.86,-1.11,-26.53,NA,NA,0.31,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
10,5,6/22/15,14.55,1.002,0.392,-21.55,5.59,-26.7,1.3,-1.36,-27.12,-0.31,-28.47,0.372,0.983,0.277,0.311,0.249,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
11,6,6/30/15,12.65,1.1028,0.258,-23.46,7.28,-29.17,0.22,0.69,-25.87,-1.35,-26.9,0.474,0.498,0.339,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
12,6,6/30/15,12.65,1.1028,0.258,-20.03,6.94,-29.17,0.22,0.69,-25.87,-1.35,-26.9,0.581,0.724,0.512,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
13,7,7/17/15,17.851,0.8304,0.576,-21.62,6.45,-26.11,3.55,1.63,-24.52,-2.42,-26.88,1.249,0.856,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
14,7,7/17/15,17.851,0.8304,0.576,-23.24,5.79,-26.11,3.55,1.63,-24.52,-2.42,-26.88,0.671,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
15,7,7/17/15,17.851,0.8304,0.576,-24.19,5.57,-26.11,3.55,1.63,-24.52,-2.42,-26.88,0.454,0.413,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
16,8,7/18/15,14.9,1.44,0.573,-16.65,5.14,-26.48,-0.3,-0.6,-26.27,-1.74,-27.38,0.973,0.693,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
17,8,7/18/15,14.9,1.44,0.573,-16.27,3.89,-26.48,-0.3,-0.6,-26.27,-1.74,-27.38,1.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
18,8,7/18/15,14.9,1.44,0.573,-17.73,4.74,-26.48,-0.3,-0.6,-26.27,-1.74,-27.38,0.856,0.506,0.293,0.448,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
19,9,7/19/15,17.85,1.0992,0.573,-19.16,4.85,-24.24,0.58,3.63,-26.53,-2.42,-26.88,1.537,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
20,9,7/19/15,17.85,1.0992,0.573,-18.34,5.61,-24.24,0.58,3.63,-26.53,-2.42,-26.88,1.355,0.674,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
21,9,7/19/15,17.85,1.0992,0.573,-19.95,4.75,-24.24,0.58,3.63,-26.53,-2.42,-26.88,0.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
22,10,7/25/15,18,1.5984,0.11,-24.32,6.57,-27.43,-1.38,-0.11,-27.79,-4.72,-28.05,0.525,0.649,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
24,12,7/28/15,15.85,0.8796,0.0819,-16.79,5.92,-21.84,-1.26,3.26,-26.2,0.73,-26.94,1.245,0.293,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
25,13,7/29/15,14.35,1.0092,0.312,-23.27,7.01,-23.97,-0.1,-0.58,-28.21,0.8,-29.86,0.239,0.388,0.379,0.376,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
26,14,7/29/15,16.7,1.2084,0.507,-19.65,9.72,-19.4,0.64,2.55,-27.8,0.47,-28.64,0.874,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
27,15,8/2/15,18.45,2.1372,0.387,-22.19,7.68,-27.69,0.94,6.17,-27.97,-2.92,-30.16,1.059,0.513,0.364,0.364,0.345,0.234,0.164,0.144,0.194,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rainbow
31,17,6/19/16,17.6,1.4268,0.269,-26.42,6.28,-30.24,-0.83,1.59,-25.82,-2.86,-29.51,0.822,0.536,0.257,0.209,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
32,2,6/21/16,10.35,1.5036,0.0221,-24.12,7.77,-27.4,2.17,-0.11,-26.46,-1.35,-26.9,0.562,0.301,0.308,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
33,2,6/21/16,10.35,1.5036,0.0221,-17.24,7.72,-27.4,2.17,-0.11,-26.46,-1.35,-26.9,0.818,0.272,0.147,0.128,0.164,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooktrout
